threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,1.184988922,1.095622000,0.053467305,0.007022827,-1.000000000,-1.000000000,-1.000000000,0.028876790,-1,-1,-1,4994780
1,1.948735735,1.824214500,0.076430120,0.018961835,-1.000000000,-1.000000000,-1.000000000,0.029129280,-1,-1,-1,4994780
2,1.025309005,0.926676800,0.059228630,0.010202921,-1.000000000,-1.000000000,-1.000000000,0.029200655,-1,-1,-1,4994780
32,2.207187456,2.116255000,0.054589795,0.007438097,-1.000000000,-1.000000000,-1.000000000,0.028904565,-1,-1,-1,4994780
4,0.564961931,0.472870050,0.055056215,0.007953581,-1.000000000,-1.000000000,-1.000000000,0.029082085,-1,-1,-1,4994780
64,2.096579827,2.023499000,0.041797435,0.001593807,-1.000000000,-1.000000000,-1.000000000,0.029689585,-1,-1,-1,4994780
8,0.334195113,0.246216500,0.052307990,0.006841659,-1.000000000,-1.000000000,-1.000000000,0.028828965,-1,-1,-1,4994780
