threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,1.533731395,1.366722000,0.103412105,0.034840035,-1.000000000,-1.000000000,-1.000000000,0.028757255,-1,-1,-1,2502116
1,3.933780510,3.634932000,0.179771950,0.090086995,-1.000000000,-1.000000000,-1.000000000,0.028989565,-1,-1,-1,2502116
2,2.103499255,1.858086500,0.146292600,0.070070805,-1.000000000,-1.000000000,-1.000000000,0.029049350,-1,-1,-1,2502116
32,1.118151360,0.946852200,0.105915075,0.036669700,-1.000000000,-1.000000000,-1.000000000,0.028714385,-1,-1,-1,2502116
4,1.131588680,0.955016350,0.109000535,0.038556165,-1.000000000,-1.000000000,-1.000000000,0.029015630,-1,-1,-1,2502116
64,2.769996775,2.646493500,0.080796470,0.013169100,-1.000000000,-1.000000000,-1.000000000,0.029537705,-1,-1,-1,2502116
8,0.632763855,0.488769300,0.092062535,0.023136815,-1.000000000,-1.000000000,-1.000000000,0.028795205,-1,-1,-1,2502116
