threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.404744850,-1.000000000,0.162900600,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058220430,-1,-1,-1,2153399
1,0.916700800,-1.000000000,0.116372800,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058033540,-1,-1,-1,2153399
2,0.519111300,-1.000000000,0.117098350,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.057882185,-1,-1,-1,2153399
32,0.717994850,-1.000000000,0.176490750,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.058959840,-1,-1,-1,2153399
4,0.320371400,-1.000000000,0.118862350,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.060301780,-1,-1,-1,2153399
64,2.766229000,-1.000000000,0.497489750,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.064943480,-1,-1,-1,2153399
8,0.220520550,-1.000000000,0.118467850,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.060490765,-1,-1,-1,2153399
