threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,1.073378500,0.851818450,0.082636510,0.034877410,0.041810115,-1.000000000,-1.000000000,0.005915972,-1,-1,-1,2502116
1,3.830613500,3.634096500,0.148115400,0.086351600,0.042069800,-1.000000000,-1.000000000,0.019666375,-1,-1,-1,2502116
2,2.066675000,1.862602500,0.118865450,0.066156375,0.042008410,-1.000000000,-1.000000000,0.010670775,-1,-1,-1,2502116
32,1.822801500,1.576631000,0.082031300,0.034262080,0.041716685,-1.000000000,-1.000000000,0.006016790,-1,-1,-1,2502116
4,1.135423000,0.954327100,0.086488455,0.036992925,0.042002270,-1.000000000,-1.000000000,0.007466082,-1,-1,-1,2502116
64,7.598145500,6.760380000,0.060605685,0.012583595,0.045451240,-1.000000000,-1.000000000,0.002552423,-1,-1,-1,2502116
8,0.656126100,0.486778700,0.070302240,0.022366120,0.041965815,-1.000000000,-1.000000000,0.005942959,-1,-1,-1,2502116
