threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,1.427855000,1.289387000,0.039931820,0.007018511,0.026824460,-1.000000000,-1.000000000,0.006055385,-1,-1,-1,4994780
1,1.942594500,1.830553500,0.063717635,0.016794935,0.027362565,-1.000000000,-1.000000000,0.019531845,-1,-1,-1,4994780
2,1.044193000,0.930947300,0.046157220,0.009211903,0.026359240,-1.000000000,-1.000000000,0.010558610,-1,-1,-1,4994780
32,0.752862050,0.554771500,0.039996615,0.007312796,0.026544565,-1.000000000,-1.000000000,0.006104806,-1,-1,-1,4994780
4,0.589173800,0.478107850,0.041773770,0.007788592,0.026466420,-1.000000000,-1.000000000,0.007491264,-1,-1,-1,4994780
64,2.904390500,2.225854000,0.037956445,0.002124092,0.034405490,-1.000000000,-1.000000000,0.001411454,-1,-1,-1,4994780
8,0.357652450,0.245754350,0.039525725,0.006767709,0.026708580,-1.000000000,-1.000000000,0.006021558,-1,-1,-1,4994780
