threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.007154760,0.005144192,0.001158970,0.000518155,-1.000000000,-1.000000000,-1.000000000,0.000333443,-1,-1,-1,17977
1,0.023243008,0.021629950,0.000964391,0.000446290,-1.000000000,-1.000000000,-1.000000000,0.000202376,-1,-1,-1,17977
2,0.012280600,0.010948380,0.000788778,0.000332937,-1.000000000,-1.000000000,-1.000000000,0.000210505,-1,-1,-1,17977
32,0.021141897,0.018066920,0.001748020,0.000993148,-1.000000000,-1.000000000,-1.000000000,0.000333808,-1,-1,-1,17977
4,0.007106931,0.005773463,0.000783697,0.000269295,-1.000000000,-1.000000000,-1.000000000,0.000280476,-1,-1,-1,17977
64,0.049679545,0.047665175,0.001242132,0.000391203,-1.000000000,-1.000000000,-1.000000000,0.000381035,-1,-1,-1,17977
8,0.004228924,0.003028094,0.000712944,0.000212452,-1.000000000,-1.000000000,-1.000000000,0.000275434,-1,-1,-1,17977
