threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.003542668,0.001727952,0.001228609,0.000171998,-1.000000000,-1.000000000,-1.000000000,0.000414111,-1,-1,-1,32352
1,0.018185523,0.017001460,0.000771350,0.000206181,-1.000000000,-1.000000000,-1.000000000,0.000206533,-1,-1,-1,32352
2,0.010498078,0.008966534,0.000974090,0.000248383,-1.000000000,-1.000000000,-1.000000000,0.000309071,-1,-1,-1,32352
32,0.003141006,0.001148813,0.001347196,0.000211528,-1.000000000,-1.000000000,-1.000000000,0.000433469,-1,-1,-1,32352
4,0.006750688,0.005007852,0.001105632,0.000232938,-1.000000000,-1.000000000,-1.000000000,0.000404267,-1,-1,-1,32352
64,0.034576217,0.032447580,0.001525120,0.000227642,-1.000000000,-1.000000000,-1.000000000,0.000375874,-1,-1,-1,32352
8,0.004753944,0.002985846,0.001166618,0.000196761,-1.000000000,-1.000000000,-1.000000000,0.000404719,-1,-1,-1,32352
