threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.002426351,0.001261427,0.000670114,0.000080017,-1.000000000,-1.000000000,-1.000000000,0.000414793,-1,-1,-1,35588
1,0.013756189,0.012912125,0.000493563,0.000148550,-1.000000000,-1.000000000,-1.000000000,0.000201952,-1,-1,-1,35588
2,0.007691673,0.006728377,0.000546192,0.000124161,-1.000000000,-1.000000000,-1.000000000,0.000292944,-1,-1,-1,35588
32,0.002006483,0.000812095,0.000695892,0.000128876,-1.000000000,-1.000000000,-1.000000000,0.000369621,-1,-1,-1,35588
4,0.004986120,0.003853957,0.000634948,0.000101749,-1.000000000,-1.000000000,-1.000000000,0.000395465,-1,-1,-1,35588
64,0.047662156,0.046277695,0.000811350,0.000156327,-1.000000000,-1.000000000,-1.000000000,0.000416784,-1,-1,-1,35588
8,0.003328423,0.002214498,0.000637131,0.000088073,-1.000000000,-1.000000000,-1.000000000,0.000388721,-1,-1,-1,35588
