threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.003836766,0.002694189,0.000639321,0.000146091,-1.000000000,-1.000000000,-1.000000000,0.000357165,-1,-1,-1,35911
1,0.012400538,0.011603785,0.000463291,0.000127460,-1.000000000,-1.000000000,-1.000000000,0.000206003,-1,-1,-1,35911
2,0.006528208,0.005886864,0.000362766,0.000064093,-1.000000000,-1.000000000,-1.000000000,0.000214484,-1,-1,-1,35911
32,0.017974217,0.016455440,0.000877574,0.000326882,-1.000000000,-1.000000000,-1.000000000,0.000314321,-1,-1,-1,35911
4,0.004051594,0.003320639,0.000401336,0.000049644,-1.000000000,-1.000000000,-1.000000000,0.000279974,-1,-1,-1,35911
64,0.043488760,0.042320225,0.000656423,0.000090231,-1.000000000,-1.000000000,-1.000000000,0.000421880,-1,-1,-1,35911
8,0.002442188,0.001749176,0.000378393,0.000031377,-1.000000000,-1.000000000,-1.000000000,0.000283241,-1,-1,-1,35911
