threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.003705362,-1.000000000,0.002441149,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001283520,-1,-1,-1,35588
1,0.015219275,-1.000000000,0.001683063,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001103771,-1,-1,-1,35588
2,0.009436997,-1.000000000,0.001898517,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001193823,-1,-1,-1,35588
32,0.003234575,-1.000000000,0.002480808,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001183905,-1,-1,-1,35588
4,0.006531449,-1.000000000,0.002229225,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001347208,-1,-1,-1,35588
64,0.048492905,-1.000000000,0.004144840,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001135968,-1,-1,-1,35588
8,0.004778167,-1.000000000,0.002348287,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001338065,-1,-1,-1,35588
