threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.005681037,-1.000000000,0.002065191,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001129863,-1,-1,-1,35911
1,0.014044535,-1.000000000,0.001672303,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001080564,-1,-1,-1,35911
2,0.007754307,-1.000000000,0.001576124,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001060718,-1,-1,-1,35911
32,0.020491735,-1.000000000,0.002028640,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001130051,-1,-1,-1,35911
4,0.005265726,-1.000000000,0.001663183,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001141536,-1,-1,-1,35911
64,0.050342910,-1.000000000,0.004367899,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001104429,-1,-1,-1,35911
8,0.003771136,-1.000000000,0.001923202,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001125398,-1,-1,-1,35911
