threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.012326260,-1.000000000,0.002732112,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001231591,-1,-1,-1,17977
1,0.024517605,-1.000000000,0.002196083,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001108942,-1,-1,-1,17977
2,0.013437455,-1.000000000,0.002144046,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001107088,-1,-1,-1,17977
32,0.006538998,-1.000000000,0.002823211,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001215170,-1,-1,-1,17977
4,0.008447897,-1.000000000,0.002303055,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001307391,-1,-1,-1,17977
64,0.013930700,-1.000000000,0.005694104,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001380389,-1,-1,-1,17977
8,0.005566484,-1.000000000,0.002440678,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001292083,-1,-1,-1,17977
