threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.004638172,-1.000000000,0.003038390,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001506632,-1,-1,-1,32352
1,0.019469925,-1.000000000,0.001731449,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001119395,-1,-1,-1,32352
2,0.011130735,-1.000000000,0.002005354,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001322411,-1,-1,-1,32352
32,0.004128813,-1.000000000,0.003192746,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001445123,-1,-1,-1,32352
4,0.007829959,-1.000000000,0.002476262,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001541244,-1,-1,-1,32352
64,0.020271055,-1.000000000,0.005336644,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001445081,-1,-1,-1,32352
8,0.005893416,-1.000000000,0.002823235,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001507120,-1,-1,-1,32352
