threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,6.087440000,-1.000000000,0.978117550,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.581883800,-1,-1,-1,14014109
1,5.651042500,-1.000000000,0.780163950,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.582731550,-1,-1,-1,14014109
2,3.272916000,-1.000000000,0.820168850,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.582808850,-1,-1,-1,14014109
32,4.083217000,-1.000000000,1.202577050,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.584410550,-1,-1,-1,14014109
4,2.070386000,-1.000000000,0.825616500,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.584521400,-1,-1,-1,14014109
64,11.526020000,-1.000000000,3.697378000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.729319400,-1,-1,-1,14014109
8,1.455646000,-1.000000000,0.827680000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.583270300,-1,-1,-1,14014109
