threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,5.752829000,-1.000000000,1.240573000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.577562100,-1,-1,-1,7017600
1,11.581660000,-1.000000000,0.940284700,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.580478200,-1,-1,-1,7017600
2,6.319700000,-1.000000000,0.999372000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.579579200,-1,-1,-1,7017600
32,3.976942500,-1.000000000,1.314434000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.581448500,-1,-1,-1,7017600
4,3.711253500,-1.000000000,1.017040900,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.581277850,-1,-1,-1,7017600
64,10.316742500,-1.000000000,2.680205000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.739830100,-1,-1,-1,7017600
8,2.486198000,-1.000000000,1.043256600,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.582277600,-1,-1,-1,7017600
