threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.008879162,0.007507475,0.000427167,0.000135742,0.000172938,-1.000000000,-1.000000000,0.000115476,-1,-1,-1,35911
1,0.012652925,0.011681820,0.000362058,0.000106365,0.000121907,-1.000000000,-1.000000000,0.000130836,-1,-1,-1,35911
2,0.006787477,0.005965744,0.000260340,0.000060307,0.000128381,-1.000000000,-1.000000000,0.000069040,-1,-1,-1,35911
32,0.003800991,0.002337467,0.000605486,0.000295214,0.000172054,-1.000000000,-1.000000000,0.000134970,-1,-1,-1,35911
4,0.004242980,0.003316552,0.000370906,0.000035227,0.000242242,-1.000000000,-1.000000000,0.000090780,-1,-1,-1,35911
64,0.043819260,0.040213575,0.000655118,0.000116414,0.000421733,-1.000000000,-1.000000000,0.000113735,-1,-1,-1,35911
8,0.002612511,0.001789602,0.000269135,0.000026226,0.000153473,-1.000000000,-1.000000000,0.000086997,-1,-1,-1,35911
