threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.003421712,0.001664988,0.000622885,0.000165490,0.000308203,-1.000000000,-1.000000000,0.000146258,-1,-1,-1,32352
1,0.018012890,0.016913005,0.000493404,0.000185083,0.000174688,-1.000000000,-1.000000000,0.000131047,-1,-1,-1,32352
2,0.010519720,0.009111789,0.000593317,0.000219283,0.000198090,-1.000000000,-1.000000000,0.000173135,-1,-1,-1,32352
32,0.002738499,0.001058474,0.000602052,0.000193735,0.000236390,-1.000000000,-1.000000000,0.000169160,-1,-1,-1,32352
4,0.007035508,0.005324694,0.000745133,0.000199500,0.000305929,-1.000000000,-1.000000000,0.000236620,-1,-1,-1,32352
64,0.042307855,0.038823070,0.000599706,0.000277048,0.000240270,-1.000000000,-1.000000000,0.000079275,-1,-1,-1,32352
8,0.004774924,0.003100865,0.000576961,0.000177512,0.000231472,-1.000000000,-1.000000000,0.000165183,-1,-1,-1,32352
