threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.012099495,0.009506185,0.000957655,0.000526940,0.000316411,-1.000000000,-1.000000000,0.000111090,-1,-1,-1,17977
1,0.023054530,0.021667430,0.000785121,0.000415234,0.000237629,-1.000000000,-1.000000000,0.000129502,-1,-1,-1,17977
2,0.012159440,0.010975060,0.000615248,0.000310883,0.000232182,-1.000000000,-1.000000000,0.000069558,-1,-1,-1,17977
32,0.023536035,0.020029160,0.001337277,0.000946056,0.000246174,-1.000000000,-1.000000000,0.000141516,-1,-1,-1,17977
4,0.007679455,0.005877669,0.000696433,0.000256169,0.000315445,-1.000000000,-1.000000000,0.000122007,-1,-1,-1,17977
64,0.053707320,0.048477265,0.000927922,0.000538678,0.000284478,-1.000000000,-1.000000000,0.000101576,-1,-1,-1,17977
8,0.005157720,0.003223832,0.000606199,0.000198715,0.000325727,-1.000000000,-1.000000000,0.000079176,-1,-1,-1,17977
