threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.002466257,0.001277596,0.000433273,0.000086792,0.000204648,-1.000000000,-1.000000000,0.000138854,-1,-1,-1,35588
1,0.013932705,0.012945270,0.000380186,0.000117146,0.000132559,-1.000000000,-1.000000000,0.000127796,-1,-1,-1,35588
2,0.007874638,0.006759909,0.000432694,0.000114599,0.000158309,-1.000000000,-1.000000000,0.000157190,-1,-1,-1,35588
32,0.002080407,0.000845011,0.000503089,0.000124825,0.000211518,-1.000000000,-1.000000000,0.000163933,-1,-1,-1,35588
4,0.005355010,0.004046836,0.000553591,0.000092255,0.000266828,-1.000000000,-1.000000000,0.000191396,-1,-1,-1,35588
64,0.045747400,0.042136715,0.000641678,0.000150515,0.000413595,-1.000000000,-1.000000000,0.000074307,-1,-1,-1,35588
8,0.003439528,0.002261720,0.000463046,0.000081661,0.000206387,-1.000000000,-1.000000000,0.000171986,-1,-1,-1,35588
