threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.329440641,0.289934650,0.023731200,0.003233741,-1.000000000,-1.000000000,-1.000000000,0.012541050,-1,-1,-1,2153399
1,0.820330645,0.766234600,0.033062140,0.008460400,-1.000000000,-1.000000000,-1.000000000,0.012573505,-1,-1,-1,2153399
2,0.432078337,0.388703150,0.026093360,0.004647337,-1.000000000,-1.000000000,-1.000000000,0.012634490,-1,-1,-1,2153399
32,0.229050424,0.188252950,0.024766765,0.003470340,-1.000000000,-1.000000000,-1.000000000,0.012560370,-1,-1,-1,2153399
4,0.239965991,0.199540000,0.024315365,0.003537916,-1.000000000,-1.000000000,-1.000000000,0.012572710,-1,-1,-1,2153399
64,0.737344522,0.701748100,0.021719065,0.000922217,-1.000000000,-1.000000000,-1.000000000,0.012955140,-1,-1,-1,2153399
8,0.143254155,0.104309100,0.023267920,0.003168435,-1.000000000,-1.000000000,-1.000000000,0.012508700,-1,-1,-1,2153399
