threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.553611427,0.491854500,0.037176090,0.012172812,-1.000000000,-1.000000000,-1.000000000,0.012408025,-1,-1,-1,1076858
1,1.405177785,1.314574500,0.053352595,0.024794405,-1.000000000,-1.000000000,-1.000000000,0.012456285,-1,-1,-1,1076858
2,0.737799850,0.662815400,0.044189810,0.018320810,-1.000000000,-1.000000000,-1.000000000,0.012473830,-1,-1,-1,1076858
32,0.485628165,0.414801300,0.041761080,0.016663415,-1.000000000,-1.000000000,-1.000000000,0.012402370,-1,-1,-1,1076858
4,0.407562796,0.347307950,0.036535390,0.011215471,-1.000000000,-1.000000000,-1.000000000,0.012503985,-1,-1,-1,1076858
64,1.095462798,1.039495450,0.033539440,0.009764133,-1.000000000,-1.000000000,-1.000000000,0.012663775,-1,-1,-1,1076858
8,0.236080038,0.182701450,0.033018345,0.007948863,-1.000000000,-1.000000000,-1.000000000,0.012411380,-1,-1,-1,1076858
