threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,1.356220500,-1.000000000,0.307070300,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.140026800,-1,-1,-1,4994780
1,2.197663000,-1.000000000,0.258050550,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.140238050,-1,-1,-1,4994780
2,1.217334500,-1.000000000,0.261333350,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.140043100,-1,-1,-1,4994780
32,2.506285000,-1.000000000,0.383714500,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.141044850,-1,-1,-1,4994780
4,0.751467500,-1.000000000,0.268700600,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.141131400,-1,-1,-1,4994780
64,5.331216500,-1.000000000,1.226013500,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.157687800,-1,-1,-1,4994780
8,0.514306550,-1.000000000,0.272717600,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.142244250,-1,-1,-1,4994780
