threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,1.860182500,-1.000000000,0.466602600,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.143333550,-1,-1,-1,2502116
1,4.110992500,-1.000000000,0.363909050,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.141931900,-1,-1,-1,2502116
2,2.267311500,-1.000000000,0.379818100,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.142554500,-1,-1,-1,2502116
32,1.897066000,-1.000000000,0.496354400,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.143213100,-1,-1,-1,2502116
4,1.352872500,-1.000000000,0.397321450,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.142604200,-1,-1,-1,2502116
64,7.856783000,-1.000000000,1.003585250,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.162392450,-1,-1,-1,2502116
8,0.881124400,-1.000000000,0.401364000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.143458200,-1,-1,-1,2502116
