threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,2.118398500,1.586378000,0.115849100,0.016912715,0.079023330,-1.000000000,-1.000000000,0.019876985,-1,-1,-1,14014109
1,4.972370500,4.643410500,0.192424850,0.046152440,0.080647770,-1.000000000,-1.000000000,0.065592755,-1,-1,-1,14014109
2,2.666387500,2.341032000,0.140603100,0.025189335,0.078300250,-1.000000000,-1.000000000,0.037079125,-1,-1,-1,14014109
32,2.732190000,2.180106000,0.116214550,0.017041155,0.079189765,-1.000000000,-1.000000000,0.019944350,-1,-1,-1,14014109
4,1.539809000,1.218883500,0.123059200,0.018608870,0.077994295,-1.000000000,-1.000000000,0.026423125,-1,-1,-1,14014109
64,18.757975000,17.557820000,0.109063150,0.007427153,0.095972215,-1.000000000,-1.000000000,0.005634537,-1,-1,-1,14014109
8,0.968273700,0.641140250,0.114917150,0.016697615,0.078315980,-1.000000000,-1.000000000,0.019869975,-1,-1,-1,14014109
