threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,5.012820500,4.430041500,0.215595000,0.080121525,0.114987200,-1.000000000,-1.000000000,0.020448495,-1,-1,-1,7017600
1,10.869255000,10.375725000,0.357144750,0.176478250,0.115025600,-1.000000000,-1.000000000,0.065604560,-1,-1,-1,7017600
2,5.702316000,5.229145000,0.276106350,0.124170535,0.114805000,-1.000000000,-1.000000000,0.037095735,-1,-1,-1,7017600
32,6.520113500,5.756751500,0.229402750,0.093120425,0.115591850,-1.000000000,-1.000000000,0.020649165,-1,-1,-1,7017600
4,3.106458000,2.677635500,0.213483700,0.070971830,0.115713900,-1.000000000,-1.000000000,0.026760985,-1,-1,-1,7017600
64,5.827637000,3.908821500,0.164057100,0.030098550,0.130567500,-1.000000000,-1.000000000,0.003358296,-1,-1,-1,7017600
8,1.874458500,1.472030000,0.180243350,0.044484295,0.115023600,-1.000000000,-1.000000000,0.020698215,-1,-1,-1,7017600
