threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,4.059920685,3.754242500,0.178547200,0.016960535,-1.000000000,-1.000000000,-1.000000000,0.110170450,-1,-1,-1,14014109
1,5.034910715,4.626501000,0.244518250,0.053555965,-1.000000000,-1.000000000,-1.000000000,0.110335500,-1,-1,-1,14014109
2,2.674965315,2.340807000,0.197299900,0.027908115,-1.000000000,-1.000000000,-1.000000000,0.108950300,-1,-1,-1,14014109
32,1.908875045,1.606435000,0.176048850,0.016982695,-1.000000000,-1.000000000,-1.000000000,0.109408500,-1,-1,-1,14014109
4,1.524207080,1.216738000,0.180016850,0.018314480,-1.000000000,-1.000000000,-1.000000000,0.109137750,-1,-1,-1,14014109
64,11.488933658,11.166930000,0.176364850,0.004824758,-1.000000000,-1.000000000,-1.000000000,0.140814050,-1,-1,-1,14014109
8,0.951179260,0.650100600,0.174631650,0.016866860,-1.000000000,-1.000000000,-1.000000000,0.109580150,-1,-1,-1,14014109
