threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,3.626855715,3.109315500,0.310582550,0.098711965,-1.000000000,-1.000000000,-1.000000000,0.108245700,-1,-1,-1,7017600
1,11.076329000,10.330935000,0.449818400,0.186795650,-1.000000000,-1.000000000,-1.000000000,0.108779950,-1,-1,-1,7017600
2,5.871611750,5.258887000,0.366019900,0.138174200,-1.000000000,-1.000000000,-1.000000000,0.108530650,-1,-1,-1,7017600
32,2.576313925,2.057444000,0.311132400,0.100492775,-1.000000000,-1.000000000,-1.000000000,0.107244750,-1,-1,-1,7017600
4,3.315055215,2.841169500,0.289945150,0.076166765,-1.000000000,-1.000000000,-1.000000000,0.107773800,-1,-1,-1,7017600
64,19.996183075,19.572125000,0.257555200,0.031586875,-1.000000000,-1.000000000,-1.000000000,0.134916000,-1,-1,-1,7017600
8,1.914019575,1.503819500,0.256092850,0.046621275,-1.000000000,-1.000000000,-1.000000000,0.107485950,-1,-1,-1,7017600
