threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.276255800,0.211193450,0.016799945,0.003101437,0.011630975,-1.000000000,-1.000000000,0.002037885,-1,-1,-1,2153399
1,0.821269750,0.772743450,0.027088420,0.006945650,0.011583610,-1.000000000,-1.000000000,0.008528552,-1,-1,-1,2153399
2,0.440351500,0.390037200,0.020125005,0.004075852,0.011526530,-1.000000000,-1.000000000,0.004491544,-1,-1,-1,2153399
32,0.386369450,0.308252950,0.017121655,0.003398071,0.011627995,-1.000000000,-1.000000000,0.002059017,-1,-1,-1,2153399
4,0.248311200,0.198897050,0.017977285,0.003339458,0.011536005,-1.000000000,-1.000000000,0.003071223,-1,-1,-1,2153399
64,1.402610500,1.106348500,0.024477655,0.000567152,0.023148300,-1.000000000,-1.000000000,0.000743252,-1,-1,-1,2153399
8,0.152263450,0.104601400,0.016792255,0.003086553,0.011699430,-1.000000000,-1.000000000,0.001980233,-1,-1,-1,2153399
