threadNum,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,batch,numIter,numOrgVerts,numSimpVerts
16,0.330323200,0.246633250,0.028847200,0.012377233,0.014437155,-1.000000000,-1.000000000,0.002001446,-1,-1,-1,1076858
1,1.387307000,1.319480000,0.046582795,0.023681765,0.014362490,-1.000000000,-1.000000000,0.008507614,-1,-1,-1,1076858
2,0.730790250,0.664161150,0.035830080,0.016999245,0.014345395,-1.000000000,-1.000000000,0.004455543,-1,-1,-1,1076858
32,0.336125100,0.237955600,0.030815750,0.014478922,0.014277285,-1.000000000,-1.000000000,0.002026606,-1,-1,-1,1076858
4,0.407562000,0.347032950,0.027755175,0.010526871,0.014242690,-1.000000000,-1.000000000,0.002955728,-1,-1,-1,1076858
64,1.107082000,0.729177650,0.030297175,0.009126994,0.020295760,-1.000000000,-1.000000000,0.000859449,-1,-1,-1,1076858
8,0.240983750,0.179986300,0.024002175,0.007671720,0.014351750,-1.000000000,-1.000000000,0.001950734,-1,-1,-1,1076858
