Dataset,Method,Epsilon,Threads,timeP_s,timeWhile_s,timeSingle_s,timeUNV_s,timeUR_s,timeC_s,timeU_s,timeAll_s,Runtime_ms,Runtime_s,numIter,numOrgVerts,numSimpVerts
bunny,P-Weld,1.209e-3,16,0.001541,0.000147,0.000447,0.000156,0.000216,0.000596,0.000027,0.002805,2.807117,0.002807,5,35947,17977
bunny,P-Weld,1.209e-3,32,0.000915,0.000159,0.000335,0.000137,0.000130,0.000495,0.000047,0.002007,2.009047,0.002009,7,35947,17977
bunny,P-Weld,1.209e-3,64,0.000676,0.000270,0.000327,0.000132,0.000123,0.000599,0.000047,0.001907,1.908558,0.001909,9,35947,17977
bunny,P-Weld Async,2.800e-4,1,0.009065,0.000095,0.000378,0.000042,0.000156,0.000476,0.000178,0.010194,10.196433,0.010196,2,35947,35911
bunny,P-Weld Async,2.800e-4,2,0.004343,0.000044,0.000265,0.000038,0.000076,0.000311,0.000149,0.005121,5.122777,0.005123,2,35947,35911
bunny,P-Weld Async,2.800e-4,4,0.002248,0.000025,0.000206,0.000032,0.000031,0.000232,0.000141,0.002859,2.861004,0.002861,2,35947,35911
bunny,P-Weld Async,2.800e-4,8,0.001148,0.000016,0.000195,0.000031,0.000017,0.000213,0.000145,0.001700,1.702222,0.001702,2,35947,35911
bunny,P-Weld Async,2.800e-4,16,0.000711,0.000023,0.000245,0.000037,0.000020,0.000269,0.000185,0.001363,1.365268,0.001365,2,35947,35911
bunny,P-Weld Async,2.800e-4,32,0.000500,0.000034,0.000270,0.000042,0.000027,0.000306,0.000199,0.001231,1.232384,0.001232,2,35947,35911
bunny,P-Weld Async,2.800e-4,64,0.009904,0.043110,0.027664,0.010850,0.016553,0.070779,0.000255,0.081366,81.368930,0.081369,2,35947,35911
bunny,P-Weld Async,4.280e-4,1,0.009619,0.000133,0.000388,0.000052,0.000157,0.000523,0.000176,0.010781,10.782700,0.010783,2,35947,35588
bunny,P-Weld Async,4.280e-4,2,0.004617,0.000068,0.000266,0.000046,0.000068,0.000336,0.000149,0.005435,5.436553,0.005437,3,35947,35588
bunny,P-Weld Async,4.280e-4,4,0.002388,0.000037,0.000214,0.000042,0.000029,0.000253,0.000142,0.003032,3.033935,0.003034,3,35947,35588
bunny,P-Weld Async,4.280e-4,8,0.001226,0.000024,0.000204,0.000041,0.000017,0.000230,0.000144,0.001796,1.797549,0.001798,3,35947,35588
bunny,P-Weld Async,4.280e-4,16,0.000781,0.000032,0.000275,0.000071,0.000020,0.000309,0.000181,0.001490,1.491989,0.001492,3,35947,35588
bunny,P-Weld Async,4.280e-4,32,0.000547,0.000050,0.000307,0.000081,0.000028,0.000359,0.000196,0.001328,1.330044,0.001330,3,35947,35588
bunny,P-Weld Async,4.280e-4,64,0.000569,0.000060,0.000330,0.000091,0.000033,0.000391,0.000203,0.001574,1.575665,0.001576,3,35947,35588
bunny,P-Weld Async,9.965e-4,1,0.012496,0.000288,0.000897,0.000170,0.000531,0.001187,0.000183,0.014274,14.276570,0.014277,2,35947,32352
bunny,P-Weld Async,9.965e-4,2,0.006086,0.000138,0.000281,0.000073,0.000057,0.000421,0.000148,0.006970,6.971436,0.006971,3,35947,32352
bunny,P-Weld Async,9.965e-4,4,0.003195,0.000082,0.000243,0.000071,0.000030,0.000326,0.000140,0.003927,3.928753,0.003929,4,35947,32352
bunny,P-Weld Async,9.965e-4,8,0.001661,0.000059,0.000232,0.000073,0.000016,0.000293,0.000142,0.002337,2.339059,0.002339,4,35947,32352
bunny,P-Weld Async,9.965e-4,16,0.001033,0.000070,0.000323,0.000143,0.000019,0.000394,0.000158,0.001902,1.903987,0.001904,4,35947,32352
bunny,P-Weld Async,9.965e-4,32,0.000681,0.000080,0.000368,0.000169,0.000029,0.000450,0.000167,0.001635,1.636586,0.001637,5,35947,32352
bunny,P-Weld Async,9.965e-4,64,0.000621,0.000097,0.000381,0.000182,0.000038,0.000480,0.000159,0.001777,1.778642,0.001779,5,35947,32352
bunny,P-Weld Async,1.209e-3,1,0.016333,0.000423,0.000454,0.000149,0.000135,0.000880,0.000167,0.017794,17.795663,0.017796,2,35947,17977
bunny,P-Weld Async,1.209e-3,2,0.008196,0.000285,0.000354,0.000141,0.000066,0.000641,0.000145,0.009299,9.301053,0.009301,3,35947,17977
bunny,P-Weld Async,1.209e-3,4,0.004236,0.000169,0.000316,0.000138,0.000037,0.000487,0.000139,0.005216,5.217809,0.005218,4,35947,17977
bunny,P-Weld Async,1.209e-3,8,0.002279,0.000111,0.000299,0.000137,0.000019,0.000412,0.000140,0.003179,3.180401,0.003180,5,35947,17977
bunny,P-Weld Async,1.209e-3,16,0.002275,0.007616,0.002338,0.000952,0.001229,0.009956,0.000154,0.012837,12.838987,0.012839,5,35947,17977
bunny,P-Weld Async,1.209e-3,32,0.001783,0.008735,0.002385,0.000982,0.001249,0.011123,0.000151,0.013430,13.432282,0.013432,7,35947,17977
bunny,P-Weld Async,1.209e-3,64,0.000647,0.000187,0.000397,0.000207,0.000043,0.000586,0.000145,0.001848,1.849608,0.001850,9,35947,17977
lucy,P-Weld,8.000e-4,1,3.209657,0.029317,0.074752,0.015765,0.053703,0.104076,0.051615,3.485878,3485.889000,3.485889,2,14027872,14014109
lucy,P-Weld,8.000e-4,2,1.692937,0.015036,0.071055,0.015775,0.050041,0.086099,0.023660,1.940748,1940.760000,1.940760,2,14027872,14014109
lucy,P-Weld,8.000e-4,4,0.879971,0.007638,0.070499,0.015714,0.049579,0.078144,0.012209,1.108364,1108.374500,1.108375,2,14027872,14014109
lucy,P-Weld,8.000e-4,8,0.478442,0.004147,0.074564,0.017811,0.051527,0.078736,0.006512,0.699074,699.085900,0.699086,2,14027872,14014109
lucy,P-Weld,8.000e-4,16,0.281478,0.002922,0.074452,0.017524,0.051683,0.077401,0.003881,0.500318,500.328600,0.500329,2,14027872,14014109
lucy,P-Weld,8.000e-4,32,0.296122,0.021197,0.088920,0.018834,0.064312,0.110131,0.017228,0.663973,664.000500,0.664001,2,14027872,14014109
lucy,P-Weld,8.000e-4,64,0.249976,0.039404,0.091404,0.019395,0.065905,0.130820,0.016959,0.664114,664.139300,0.664139,2,14027872,14014109
lucy,P-Weld,7.000e-3,1,4.663758,0.062467,0.106535,0.036940,0.064083,0.169045,0.065861,5.037280,5037.295500,5.037296,2,14027872,13891934
lucy,P-Weld,7.000e-3,2,2.364037,0.039242,0.104417,0.036392,0.062180,0.147151,0.037241,2.743746,2743.763500,2.743764,2,14027872,13891934
lucy,P-Weld,7.000e-3,4,1.207168,0.023566,0.104611,0.036967,0.061585,0.128219,0.026139,1.570571,1570.587500,1.570587,2,14027872,13891934
lucy,P-Weld,7.000e-3,8,0.651478,0.018596,0.104189,0.036470,0.062095,0.122799,0.020809,1.020903,1020.924750,1.020925,2,14027872,13891934
lucy,P-Weld,7.000e-3,16,0.394706,0.023141,0.112812,0.040063,0.066860,0.135969,0.018864,0.795552,795.577950,0.795578,2,14027872,13891934
lucy,P-Weld,7.000e-3,32,0.263938,0.023929,0.110690,0.039521,0.065212,0.134641,0.017123,0.675599,675.620100,0.675620,2,14027872,13891934
lucy,P-Weld,7.000e-3,64,0.241041,0.042932,0.116800,0.041760,0.068516,0.159747,0.017352,0.685822,685.846100,0.685846,2,14027872,13891934
lucy,P-Weld,7.200e-2,1,5.269805,0.129168,0.150363,0.078187,0.065937,0.279573,0.065945,5.754738,5754.752500,5.754753,2,14027872,12615552
lucy,P-Weld,7.200e-2,2,2.722136,0.078642,0.148396,0.077164,0.065546,0.227084,0.037228,3.189138,3189.156000,3.189156,2,14027872,12615552
lucy,P-Weld,7.200e-2,4,1.395890,0.052458,0.148920,0.076608,0.066732,0.201424,0.025605,1.843760,1843.776000,1.843776,2,14027872,12615552
lucy,P-Weld,7.200e-2,8,0.743793,0.036582,0.148538,0.077124,0.065639,0.185134,0.019787,1.186898,1186.919500,1.186919,3,14027872,12615552
lucy,P-Weld,7.200e-2,16,0.439917,0.030870,0.151324,0.079108,0.066236,0.182205,0.016987,0.880791,880.811000,0.880811,3,14027872,12615552
lucy,P-Weld,7.200e-2,32,0.326208,0.032588,0.159765,0.085082,0.068645,0.192369,0.017095,0.845301,845.324950,0.845325,3,14027872,12615552
lucy,P-Weld,7.200e-2,64,0.245514,0.055176,0.173263,0.096810,0.070511,0.228452,0.016305,0.840443,840.657500,0.840657,3,14027872,12615552
lucy,P-Weld,5.009e-1,1,10.375355,0.173604,0.164496,0.079953,0.078819,0.338109,0.065228,10.913955,10913.960000,10.913960,2,14027872,7017600
lucy,P-Weld,5.009e-1,2,5.333608,0.131462,0.166216,0.080755,0.079518,0.297686,0.036719,5.865562,5865.574000,5.865574,3,14027872,7017600
lucy,P-Weld,5.009e-1,4,2.726213,0.077596,0.167463,0.080865,0.080860,0.245069,0.026001,3.213599,3213.613500,3.213614,4,14027872,7017600
lucy,P-Weld,5.009e-1,8,1.542715,0.066842,0.167652,0.082054,0.079740,0.234538,0.019783,2.037056,2037.079500,2.037080,4,14027872,7017600
lucy,P-Weld,5.009e-1,16,0.827093,0.041856,0.166487,0.081132,0.079656,0.208385,0.018857,1.303732,1303.750500,1.303750,4,14027872,7017600
lucy,P-Weld,5.009e-1,32,0.493084,0.040478,0.166694,0.080821,0.079596,0.207184,0.016627,1.030192,1030.212900,1.030213,4,14027872,7017600
lucy,P-Weld,5.009e-1,64,0.338404,0.055741,0.165816,0.080760,0.079155,0.221569,0.016314,0.935714,935.733400,0.935733,5,14027872,7017600
