Dataset,Method,Epsilon,Threads,timeP_s,timeWhile_s,timeSingle_s,timeUNV_s,timeUR_s,timeC_s,timeU_s,timeAll_s,Runtime_ms,Runtime_s,numIter,numOrgVerts,numSimpVerts
manu,P-Weld,9.240e-2,8,0.134658,0.003417,0.014688,0.003524,0.010592,0.018138,0.002939,0.195188,195.202850,0.195203,3,2155617,2133906
manu,P-Weld,9.240e-2,16,0.078866,0.002032,0.018031,0.003998,0.012650,0.020096,0.002813,0.144713,144.727250,0.144727,4,2155617,2133906
manu,P-Weld,9.240e-2,32,0.051335,0.000646,0.025288,0.004209,0.018976,0.025938,0.002410,0.127520,127.535100,0.127535,3,2155617,2133906
manu,P-Weld,9.240e-2,64,0.038587,0.000542,0.024120,0.003964,0.018212,0.024667,0.002172,0.110430,110.445095,0.110445,4,2155617,2133906
manu,P-Weld,0.1000022,1,1.030338,0.020504,0.022538,0.011513,0.010392,0.043050,0.008567,1.103023,1103.032000,1.103032,2,2155617,1939081
manu,P-Weld,0.1000022,2,0.529757,0.016652,0.022631,0.011437,0.010554,0.039290,0.004562,0.606669,606.680000,0.606680,3,2155617,1939081
manu,P-Weld,0.1000022,4,0.279308,0.009971,0.022596,0.011442,0.010551,0.032574,0.003518,0.355958,355.969750,0.355970,3,2155617,1939081
manu,P-Weld,0.1000022,8,0.152957,0.005196,0.025438,0.014023,0.010823,0.030666,0.002592,0.259499,259.513550,0.259514,3,2155617,1939081
manu,P-Weld,0.1000022,16,0.088643,0.003033,0.033629,0.019345,0.012862,0.036710,0.002602,0.214130,214.145900,0.214146,3,2155617,1939081
manu,P-Weld,0.1000022,32,0.051470,0.001368,0.038550,0.019599,0.016992,0.039951,0.002537,0.193496,193.512700,0.193513,4,2155617,1939081
manu,P-Weld,0.1000022,64,0.038211,0.000837,0.039718,0.020082,0.017678,0.040871,0.002067,0.177176,177.193200,0.177193,4,2155617,1939081
manu,P-Weld,0.10054,1,1.347272,0.023879,0.021930,0.009182,0.012148,0.045816,0.008526,1.423168,1423.178500,1.423179,2,2155617,1076858
manu,P-Weld,0.10054,2,0.682556,0.018192,0.021794,0.009179,0.011996,0.040021,0.004537,0.758332,758.343650,0.758344,3,2155617,1076858
manu,P-Weld,0.10054,4,0.356280,0.010809,0.021902,0.009211,0.012113,0.032744,0.003689,0.431370,431.383150,0.431383,3,2155617,1076858
manu,P-Weld,0.10054,8,0.191569,0.007028,0.021951,0.009277,0.012071,0.029015,0.002518,0.308414,308.427700,0.308428,3,2155617,1076858
manu,P-Weld,0.10054,16,0.110740,0.005547,0.023820,0.009876,0.012665,0.029408,0.002947,0.277373,277.389050,0.277389,5,2155617,1076858
manu,P-Weld,0.10054,32,0.064710,0.002690,0.026766,0.010002,0.014771,0.029497,0.002032,0.239383,239.399650,0.239400,5,2155617,1076858
manu,P-Weld,0.10054,64,0.047660,0.002385,0.027432,0.009797,0.015695,0.030132,0.002191,0.222264,222.280450,0.222280,5,2155617,1076858
manu,P-Weld Async,6.050e-2,1,0.776941,0.007966,0.024649,0.002356,0.009634,0.032623,0.012640,0.830302,830.337600,0.830338,2,2155617,2153399
manu,P-Weld Async,6.050e-2,2,0.395026,0.004620,0.021545,0.002394,0.006401,0.026173,0.012733,0.451954,451.992600,0.451993,2,2155617,2153399
manu,P-Weld Async,6.050e-2,4,0.211314,0.003666,0.019305,0.002413,0.004195,0.022979,0.012681,0.268707,268.763100,0.268763,2,2155617,2153399
manu,P-Weld Async,6.050e-2,8,0.121724,0.002490,0.018580,0.002544,0.003358,0.021074,0.012666,0.175409,175.446150,0.175446,2,2155617,2153399
manu,P-Weld Async,6.050e-2,16,0.073636,0.001357,0.018303,0.002680,0.002902,0.019664,0.012710,0.131329,131.596900,0.131597,3,2155617,2153399
